2.16.840.1.113883.2.4.3.36.77.2.5.140060;2.16.840.1.113883.2.4.3.36.77.2.2.140060
2.16.840.1.113883.2.4.3.36.77.2.5.140149;2.16.840.1.113883.2.4.3.36.77.2.4.140149
2.16.840.1.113883.2.4.3.36.77.2.5.140150;2.16.840.1.113883.2.4.3.36.77.2.4.140150
2.16.840.1.113883.2.4.3.36.77.2.5.145050;2.16.840.1.113883.2.4.3.36.77.2.4.145050
2.16.840.1.113883.2.4.3.36.77.2.5.145060;2.16.840.1.113883.2.4.3.36.77.2.4.145060
2.16.840.1.113883.2.4.3.36.77.2.5.155005;2.16.840.1.113883.2.4.3.36.77.2.4.155005
2.16.840.1.113883.2.4.3.36.77.2.5.155050;2.16.840.1.113883.2.4.3.36.77.2.4.155050
2.16.840.1.113883.2.4.3.36.77.2.5.155151;2.16.840.1.113883.2.4.3.36.77.2.4.155151
2.16.840.1.113883.2.4.3.36.77.2.5.145162-group;2.16.840.1.113883.2.4.3.36.77.2.4.145162-group
2.16.840.1.113883.2.4.3.36.77.2.6.125010;2.16.840.1.113883.2.4.3.36.77.2.5.125010
2.16.840.1.113883.2.4.3.36.77.2.6.140040;2.16.840.1.113883.2.4.3.36.77.2.5.140040
2.16.840.1.113883.2.4.3.36.77.2.6.140060;2.16.840.1.113883.2.4.3.36.77.2.2.140060
2.16.840.1.113883.2.4.3.36.77.2.6.140149;2.16.840.1.113883.2.4.3.36.77.2.5.140149
2.16.840.1.113883.2.4.3.36.77.2.6.140150;2.16.840.1.113883.2.4.3.36.77.2.5.140150
2.16.840.1.113883.2.4.3.36.77.2.6.145050;2.16.840.1.113883.2.4.3.36.77.2.5.145050
2.16.840.1.113883.2.4.3.36.77.2.6.145060;2.16.840.1.113883.2.4.3.36.77.2.5.145060
2.16.840.1.113883.2.4.3.36.77.2.6.155005;2.16.840.1.113883.2.4.3.36.77.2.5.155005
2.16.840.1.113883.2.4.3.36.77.2.6.155050;2.16.840.1.113883.2.4.3.36.77.2.5.155050
2.16.840.1.113883.2.4.3.36.77.2.6.155151;2.16.840.1.113883.2.4.3.36.77.2.5.155151
2.16.840.1.113883.2.4.3.36.77.2.6.145162-group;2.16.840.1.113883.2.4.3.36.77.2.5.145162-group
2.16.840.1.113883.2.4.3.36.77.2.7.125010;2.16.840.1.113883.2.4.3.36.77.2.6.125010
2.16.840.1.113883.2.4.3.36.77.2.7.140040;2.16.840.1.113883.2.4.3.36.77.2.6.140040
2.16.840.1.113883.2.4.3.36.77.2.7.140060;2.16.840.1.113883.2.4.3.36.77.2.6.140060
2.16.840.1.113883.2.4.3.36.77.2.7.140149;2.16.840.1.113883.2.4.3.36.77.2.6.140149
2.16.840.1.113883.2.4.3.36.77.2.7.140150;2.16.840.1.113883.2.4.3.36.77.2.6.140150
2.16.840.1.113883.2.4.3.36.77.2.7.145050;2.16.840.1.113883.2.4.3.36.77.2.6.145050
2.16.840.1.113883.2.4.3.36.77.2.7.145060;2.16.840.1.113883.2.4.3.36.77.2.6.145060
2.16.840.1.113883.2.4.3.36.77.2.7.155005;2.16.840.1.113883.2.4.3.36.77.2.6.155005
2.16.840.1.113883.2.4.3.36.77.2.7.155050;2.16.840.1.113883.2.4.3.36.77.2.6.155050
2.16.840.1.113883.2.4.3.36.77.2.7.155151;2.16.840.1.113883.2.4.3.36.77.2.6.155151
2.16.840.1.113883.2.4.3.36.77.2.7.145162-group;2.16.840.1.113883.2.4.3.36.77.2.6.145162-group
2.16.840.1.113883.2.4.3.36.77.2.8.125010;2.16.840.1.113883.2.4.3.36.77.2.7.125010
2.16.840.1.113883.2.4.3.36.77.2.8.140040;2.16.840.1.113883.2.4.3.36.77.2.7.140040
2.16.840.1.113883.2.4.3.36.77.2.8.140060;2.16.840.1.113883.2.4.3.36.77.2.7.140060
2.16.840.1.113883.2.4.3.36.77.2.8.140149;2.16.840.1.113883.2.4.3.36.77.2.7.140149
2.16.840.1.113883.2.4.3.36.77.2.8.140150;2.16.840.1.113883.2.4.3.36.77.2.7.140150
2.16.840.1.113883.2.4.3.36.77.2.8.145050;2.16.840.1.113883.2.4.3.36.77.2.7.145050
2.16.840.1.113883.2.4.3.36.77.2.8.145060;2.16.840.1.113883.2.4.3.36.77.2.7.145060
2.16.840.1.113883.2.4.3.36.77.2.8.155005;2.16.840.1.113883.2.4.3.36.77.2.7.155005
2.16.840.1.113883.2.4.3.36.77.2.8.155050;2.16.840.1.113883.2.4.3.36.77.2.7.155050
2.16.840.1.113883.2.4.3.36.77.2.8.155151;2.16.840.1.113883.2.4.3.36.77.2.7.155151
2.16.840.1.113883.2.4.3.36.77.2.8.145162-group;2.16.840.1.113883.2.4.3.36.77.2.7.145162-group
2.16.840.1.113883.2.4.3.36.77.2.10.125010;2.16.840.1.113883.2.4.3.36.77.2.8.125010
2.16.840.1.113883.2.4.3.36.77.2.10.140040;2.16.840.1.113883.2.4.3.36.77.2.8.140040
2.16.840.1.113883.2.4.3.36.77.2.10.140060;2.16.840.1.113883.2.4.3.36.77.2.8.140060
2.16.840.1.113883.2.4.3.36.77.2.10.140149;2.16.840.1.113883.2.4.3.36.77.2.8.140149
2.16.840.1.113883.2.4.3.36.77.2.10.140150;2.16.840.1.113883.2.4.3.36.77.2.8.140150
2.16.840.1.113883.2.4.3.36.77.2.10.145050;2.16.840.1.113883.2.4.3.36.77.2.8.145050
2.16.840.1.113883.2.4.3.36.77.2.10.145060;2.16.840.1.113883.2.4.3.36.77.2.8.145060
2.16.840.1.113883.2.4.3.36.77.2.10.155005;2.16.840.1.113883.2.4.3.36.77.2.8.155005
2.16.840.1.113883.2.4.3.36.77.2.10.155050;2.16.840.1.113883.2.4.3.36.77.2.8.155050
2.16.840.1.113883.2.4.3.36.77.2.10.155151;2.16.840.1.113883.2.4.3.36.77.2.8.155151
2.16.840.1.113883.2.4.3.36.77.2.10.145162-group;2.16.840.1.113883.2.4.3.36.77.2.8.145162-group
